Timestamp,Event
2025-04-02 21:32:37,Suspicious process detected: msedgewebview2.exe (PID: 3684)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 3800)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 3944)
2025-04-02 21:32:37,Suspicious process detected: python.exe (PID: 3960)
2025-04-02 21:32:37,Suspicious process detected: brave.exe (PID: 4028)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 4048)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 4056)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 4108)
2025-04-02 21:32:37,Suspicious process detected: dllhost.exe (PID: 4220)
2025-04-02 21:32:37,Suspicious process detected: chrome.exe (PID: 4268)
2025-04-02 21:32:37,Suspicious process detected: vmcompute.exe (PID: 4296)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 4324)
2025-04-02 21:32:37,Suspicious process detected: HotKeyServiceUWP.exe (PID: 4356)
2025-04-02 21:32:37,Suspicious process detected: unsecapp.exe (PID: 4400)
2025-04-02 21:32:37,Suspicious process detected: AdskAccessService.exe (PID: 4416)
2025-04-02 21:32:37,Suspicious process detected: hpqwmiex.exe (PID: 4424)
2025-04-02 21:32:37,Suspicious process detected: brave.exe (PID: 4516)
2025-04-02 21:32:37,Suspicious process detected: fontdrvhost.exe (PID: 4564)
2025-04-02 21:32:37,Suspicious process detected: WmiPrvSE.exe (PID: 4588)
2025-04-02 21:32:37,Suspicious process detected: chrome.exe (PID: 4636)
2025-04-02 21:32:37,Suspicious process detected: powershell.exe (PID: 4652)
2025-04-02 21:32:37,Suspicious process detected: python.exe (PID: 4712)
2025-04-02 21:32:37,Suspicious process detected: jhi_service.exe (PID: 4748)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 4764)
2025-04-02 21:32:37,Suspicious process detected: EoAExperiences.exe (PID: 4804)
2025-04-02 21:32:37,Suspicious process detected: brave.exe (PID: 4884)
2025-04-02 21:32:37,Suspicious process detected: csrss.exe (PID: 4900)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 4916)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 4924)
2025-04-02 21:32:37,Suspicious process detected: PowerToys.exe (PID: 4940)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 4956)
2025-04-02 21:32:37,Suspicious process detected: msedgewebview2.exe (PID: 4972)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 5048)
2025-04-02 21:32:37,Suspicious process detected: ibtsiva.exe (PID: 5248)
2025-04-02 21:32:37,Suspicious process detected: python.exe (PID: 5260)
2025-04-02 21:32:37,Suspicious process detected: spoolsv.exe (PID: 5360)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 5436)
2025-04-02 21:32:37,Suspicious process detected: wlanext.exe (PID: 5456)
2025-04-02 21:32:37,Suspicious process detected: conhost.exe (PID: 5484)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 5612)
2025-04-02 21:32:37,Suspicious process detected: IntelAudioService.exe (PID: 5636)
2025-04-02 21:32:37,Suspicious process detected: AdskLicensingService.exe (PID: 5672)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 5708)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 5724)
2025-04-02 21:32:37,Suspicious process detected: AdskAccessServiceHost.exe (PID: 5740)
2025-04-02 21:32:37,Suspicious process detected: OfficeClickToRun.exe (PID: 5760)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 5768)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 5820)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 5836)
2025-04-02 21:32:37,Suspicious process detected: ELAN_MOC_IAP_Service.exe (PID: 5844)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 5852)
2025-04-02 21:32:37,Suspicious process detected: FNPLicensingService64.exe (PID: 5856)
2025-04-02 21:32:37,Suspicious process detected: PushNotificationsLongRunningTask.exe (PID: 5880)
2025-04-02 21:32:37,Suspicious process detected: esif_uf.exe (PID: 5896)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 5984)
2025-04-02 21:32:37,Suspicious process detected: hamachi-2.exe (PID: 6040)
2025-04-02 21:32:37,Suspicious process detected: HPCommRecovery.exe (PID: 6056)
2025-04-02 21:32:37,Suspicious process detected: FMService64.exe (PID: 6072)
2025-04-02 21:32:37,Suspicious process detected: OneApp.IGCC.WinService.exe (PID: 6112)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 6148)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 6204)
2025-04-02 21:32:37,Suspicious process detected: LMIGuardianSvc.exe (PID: 6216)
2025-04-02 21:32:37,Suspicious process detected: dllhost.exe (PID: 6240)
2025-04-02 21:32:37,Suspicious process detected: MpDefenderCoreService.exe (PID: 6244)
2025-04-02 21:32:37,Suspicious process detected: winlogon.exe (PID: 6292)
2025-04-02 21:32:37,Suspicious process detected: openvpnserv2.exe (PID: 6396)
2025-04-02 21:32:37,Suspicious process detected: SecurityUpdateService.exe (PID: 6416)
2025-04-02 21:32:37,Suspicious process detected: openvpnserv.exe (PID: 6464)
2025-04-02 21:32:37,Suspicious process detected: svchost.exe (PID: 6520)
2025-04-02 21:32:37,Suspicious process detected: RstMwService.exe (PID: 6536)
2025-04-02 21:32:37,Suspicious process detected: RtkAudUService64.exe (PID: 6560)
2025-04-02 21:32:38,Suspicious process detected: Code.exe (PID: 6584)
2025-04-02 21:32:38,Suspicious process detected: oracle.exe (PID: 6692)
2025-04-02 21:32:38,Suspicious process detected: TNSLSNR.EXE (PID: 6700)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 6744)
2025-04-02 21:32:38,Suspicious process detected: mqsvc.exe (PID: 6752)
2025-04-02 21:32:38,Suspicious process detected: SECOMN64.exe (PID: 6772)
2025-04-02 21:32:38,Suspicious process detected: SafeExamBrowser.Service.exe (PID: 6780)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 6804)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 6812)
2025-04-02 21:32:38,Suspicious process detected: MsMpEng.exe (PID: 6852)
2025-04-02 21:32:38,Suspicious process detected: WMIRegistrationService.exe (PID: 6860)
2025-04-02 21:32:38,Suspicious process detected: Code.exe (PID: 6896)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 6916)
2025-04-02 21:32:38,Suspicious process detected: msedgewebview2.exe (PID: 7024)
2025-04-02 21:32:38,Suspicious process detected: ShellExperienceHost.exe (PID: 7112)
2025-04-02 21:32:38,Suspicious process detected: dasHost.exe (PID: 7256)
2025-04-02 21:32:38,Suspicious process detected: dwm.exe (PID: 7400)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 7636)
2025-04-02 21:32:38,Suspicious process detected: cmd.exe (PID: 7700)
2025-04-02 21:32:38,Suspicious process detected: LanWlanWwanSwitchingServiceUWP.exe (PID: 7712)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 8404)
2025-04-02 21:32:38,Suspicious process detected: SecurityHealthService.exe (PID: 8452)
2025-04-02 21:32:38,Suspicious process detected: msedgewebview2.exe (PID: 8504)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 8532)
2025-04-02 21:32:38,Suspicious process detected: Widgets.exe (PID: 8648)
2025-04-02 21:32:38,Suspicious process detected: msedgewebview2.exe (PID: 8712)
2025-04-02 21:32:38,Suspicious process detected: WmiPrvSE.exe (PID: 8724)
2025-04-02 21:32:38,Suspicious process detected: FileSyncHelper.exe (PID: 8756)
2025-04-02 21:32:38,Suspicious process detected: Code.exe (PID: 8900)
2025-04-02 21:32:38,Suspicious process detected: PrintDialog.exe (PID: 8996)
2025-04-02 21:32:38,Suspicious process detected: brave.exe (PID: 9076)
2025-04-02 21:32:38,Suspicious process detected: SystemSettingsBroker.exe (PID: 9100)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 9176)
2025-04-02 21:32:38,Suspicious process detected: BraveCrashHandler64.exe (PID: 9252)
2025-04-02 21:32:38,Suspicious process detected: BraveCrashHandler.exe (PID: 9328)
2025-04-02 21:32:38,Suspicious process detected: Code.exe (PID: 9352)
2025-04-02 21:32:38,Suspicious process detected: taskhostw.exe (PID: 9492)
2025-04-02 21:32:38,Suspicious process detected: igfxEMN.exe (PID: 9504)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 9556)
2025-04-02 21:32:38,Suspicious process detected: brave.exe (PID: 9568)
2025-04-02 21:32:38,Suspicious process detected: brave.exe (PID: 9600)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 9664)
2025-04-02 21:32:38,Suspicious process detected: chrome.exe (PID: 9680)
2025-04-02 21:32:38,Suspicious process detected: HP.ClientSecurityManager.exe (PID: 9744)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 9788)
2025-04-02 21:32:38,Suspicious process detected: AggregatorHost.exe (PID: 9832)
2025-04-02 21:32:38,Suspicious process detected: ctfmon.exe (PID: 9908)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 10048)
2025-04-02 21:32:38,Suspicious process detected: HP.ClientSecurityManager.exe (PID: 10068)
2025-04-02 21:32:38,Suspicious process detected: sihost.exe (PID: 10096)
2025-04-02 21:32:38,Suspicious process detected: ShellExperienceHost.exe (PID: 10116)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 10140)
2025-04-02 21:32:38,Suspicious process detected: PresentationFontCache.exe (PID: 10204)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 10228)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 10284)
2025-04-02 21:32:38,Suspicious process detected: powershell.exe (PID: 10344)
2025-04-02 21:32:38,Suspicious process detected: RuntimeBroker.exe (PID: 10512)
2025-04-02 21:32:38,Suspicious process detected: msedgewebview2.exe (PID: 10536)
2025-04-02 21:32:38,Suspicious process detected: Code.exe (PID: 10548)
2025-04-02 21:32:38,Suspicious process detected: wpscenter.exe (PID: 10600)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 10660)
2025-04-02 21:32:38,Suspicious process detected: explorer.exe (PID: 10708)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 10868)
2025-04-02 21:32:38,Suspicious process detected: vmmemCmZygote (PID: 10872)
